name,tourism,county,subcounty,constituency
God's Bridge,viewpoint,Baringo,Mogotio,Mogotio
Kerio View,viewpoint,Elgeyo-Marakwet,Keiyo North,Kamariny
Noomotio Observation Point,viewpoint,Kajiado,Kajiado South,Entonet/Lenkisim
Another fall!,viewpoint,Elgeyo-Marakwet,Keiyo North,Kamariny
Awesome view on top of the rocks,viewpoint,Elgeyo-Marakwet,Keiyo North,Tambach
Kolsungur summit (cross) 3160m,viewpoint,West Pokot,Pokot South,Lelan
Equator,viewpoint,Vihiga,Hamisi,Tambua
Shops,artwork,Kakamega,Khwisero,Kisa West
Rift Valley View Point,viewpoint,Kiambu,Lari,Lari/Kirenga
Laragai Viewpoint,viewpoint,Laikipia,Laikipia North,Mugogodo East
Nyani Rock Viewpoint,viewpoint,Laikipia,Laikipia North,Mugogodo East
Mukogodo Forest Nikijabe Viewpoint,viewpoint,Laikipia,Laikipia North,Mugogodo East
Great Rift Valley,viewpoint,Kiambu,Lari,Lari/Kirenga
Textprint,artwork,Mombasa,Mvita,Shimanzi/Ganjoni
Swamp,viewpoint,Kajiado,Kajiado South,Entonet/Lenkisim
Crocdile Point,viewpoint,Taita Taveta,Voi,Ngolia
Meru Museum,museum,Meru,North Imenti,Municipality
KIMC Film Department,viewpoint,Nairobi,Starehe,Nairobi South
National Museum of Kenya- Coastal Forest Conservation Unit,museum,Kwale,Msambweni,Ukunda
Lion HIíll Viewpoint,viewpoint,Nakuru,Nakuru Town East,Nakuru East
River Viewpoint JF,viewpoint,Isiolo,Isiolo North,Ngare Mara
Marker no 9,viewpoint,Nyeri,Kieni,Mweiga
Lake Viewpoint,viewpoint,Nakuru,Naivasha,Olkaria
Kipsaraman Museum,museum,Baringo,Baringo North,Saimo/Soi
Tatayos,viewpoint,Kakamega,Shinyalu,Isukha South
Mahigaini Springs,artwork,Nyeri,Mathira,Kirimukuyu
Kalango Hill,viewpoint,Taita Taveta,Voi,Ngolia
Teleki Outdoors,yes,Nairobi,Langata,Karen
Kisauni Baptist Church.,artwork,Mombasa,Nyali,Frere Town
Freewater,artwork,Mombasa,Kisauni,Mjambere
Hippo Pools,picnic_site,Nairobi,Langata,Mugumu-Ini
ngong_south,viewpoint,Kajiado,Kajiado West,Keekonyokie
Waterfall viewpoint,viewpoint,Elgeyo-Marakwet,Keiyo North,Tambach
Kessup Waterfall Viewpoint,viewpoint,Elgeyo-Marakwet,Keiyo North,Kamariny
Horned Viper Rock,viewpoint,Laikipia,Laikipia North,Umande
ngong_top,viewpoint,Kajiado,Kajiado West,Ewuaso Oonkidong'I
African Adventist Heritage Musuem,museum,Kajiado,Kajiado North,Olkeri
Molak Fish Ponds,picnic_site,Migori,Awendo,North Sakwa
Solomon's Viewpoint,viewpoint,Kajiado,Kajiado West,Ewuaso Oonkidong'I
equator,viewpoint,Nakuru,Rongai,Soin
Kudu Lookout,viewpoint,Taita Taveta,Mwatate,Bura
Lugard Falls,viewpoint,Taita Taveta,Voi,Ngolia
